"# source: wikipedia.org; retreived: Jan 23, 2021",,,,,
sn,Hydropower ,Location ,Capacity (MW) ,Commissioned ,Owner 
63,Tungun - Thosne Khola Hydropower Station ,Lalitpur District ,4.36,2073-08-09 BS ,Khani Khola Hydropower Company Ltd 
64,Khani Khola Hydropower Station ,Lalitpur District ,2,2073-08-09 BS ,Khani Khola Hydropower Company Ltd 
65,Jogmai Khola Hydropower Station ,Ilam District ,7.6,2074-01-18 BS ,Sanvi Energy Pvt. Ltd. 
66,Daram Khola-A Hydropower Station ,Baglung District ,2.5,2073-03-12 BS ,Sayapatri Hydropower Pvt. Ltd. 
67,Upper Puwa-1 Hydropower Station ,Ilam District ,3,2071-10-01 BS ,Joshi Hydropower Co. P. Ltd 
68,Sardi Khola Hydropower Station ,Kaski District ,4,2074-08-23 BS ,Mandakini Hydropower Pvt. Ltd. 
69,Upper Mai-C Hydropower Station ,Ilam District ,6.1,2074-04-09 BS ,"Mai Valley Hydropower P.L., "
70,Kabeli B1 Hydropower Station ,Panchthar District ,25,2076-07-23 BS ,Arun Kabeli Power Limited. 
71,Lower Hewa Hydropower Station ,Panchthar District ,21.6,2076-04-21 BS ,Mountain Hydro Nepal (P.) Ltd 
72,Mai Cascade Hydropower Station ,Ilam District ,8,2074-12-26 BS ,Himal Dolkha Hydropower Company Pvt Ltd 
73,Chhandi Khola Hydropower Station ,Lamjung District ,2,2072-12-13 BS ,Chhyandi Hydropower Co. P. Ltd 
74,Puwa Khola-1 Hydropower Station ,Ilam District ,4,2074-06-23 BS ,Puwa Khola – 1 Hydropower Pvt. Ltd 
75,Rudi A Hydropower Station ,Kaski District ,8.8,2075-12-05 BS ,Bindhabasini Hydropower Developmwnt Company Pvt.Ltd 
76,Ghalemdi Khola Hydropower Station ,Myagdi District ,5,2076-11-05 BS ,Ghalemdi Hydro Limited 
77,Kapadigad Hydropower Station ,Doti District ,3.33,2076-02-25 BS ,Salmanidevi Hydropower Pvt Ltd 
78,Madkyu Khola Hydropower Station ,Kaski District ,13,2074-12-19 BS ,Silkes Hydropower Pvt.Ltd 
79,Chake Khola Hydropower Station ,Ramechhap District ,2.83,2074-08-28 BS ,Garjang Upatyaka HP Company Limited 
80,Solu Hydropower Station ,Solukhumbu District ,23.5,2076-12-10 BS ,Upper Solu Hydroelectric Company Pvt Ltd 
81,Dwari Khola Small Hydropower Station ,Dailekh,3.75,2074-01-23 BS ,Bhugol Energy Development Company Pvt Ltd 
82,Bagmati Nadi Hydropower Station ,Makawanpur,22,2075-12-19 BS ,Mandu Hydropower Pvt. Ltd. 
83,Molun Khola Small Hydropower Station ,Okhaldhunga,7,2074-12-12 BS ,Molun Hydropower Co. Pvt. Ltd 
84,Theule Khola Hydropower Station ,Baglung,1.5,2075-03-24 BS ,Barahi Hydropower Pvt Ltd 
85,Upper Khorunga Hydropower Station ,Terhathum,7.5,2076-11-17 BS ,Terhathum Power Company Pvt. Ltd. 
86,Upper Naugad Gad Hydropower Station ,Darchula District ,8,2076-07-13 BS ,Api Power Company Ltd. 
87,Upper Mardi Hydropower Station ,Kaski District ,7,2076-06-20 BS ,United Idimardi and R.B. Hydropower Pvt Ltd 
88,Super Mai Hydropower Station ,Ilam District ,7.8,2075-07-11 BS ,Supermai Hydropower Pvt.Ltd. 
89,Rudi Khola-B Hydropower Station ,Kaski District ,6.6,2076-11-05 BS ,Bindhyabasini Hydropower Development Co. Pvt Ltd 
90,Padam Khola Small Hydropower Station ,Dailekh District ,4.8,2076-09-08 BS ,Dolti Power Company P. Ltd 
91,Super Mai-A Hydropower Station ,Ilam District ,9.6,2077-02-32 BS ,Sagarmatha Jalbidhyut Company P.Ltd. 
92,Super Mai Khola Cascade Hydropower Station ,Ilam District ,3.8,2077-03-31 BS ,Mai Khola Hydropower Pvt.Ltd. 
93,Mai Khola Small Hydropower Station ,Ilam District ,4.5,2064-10-14 BS ,Himal Dolkha Hydropower Co Ltd 
