district,lake_and_remark
Siraha,Patari Pokhari
Siraha,Purni Pokhari
Siraha,Rajdevi Pokhari
Siraha,Bhabari baisakha dah
Solukhumbu,Phurke Pokhari
Solukhumbu,Suke Pokhari
Solukhumbu,Gokyo Lake Series (Ramsar Site)
Sunsari,Barju Taal
Sunsari,Daita Pokhari
Sunsari,Magar Daha
Sunsari,Ra-Sa Taal
Sunsari,Ramdhuni in ikrai(Rupesh Gupta's village) Sunsari.
Sunsari,"Taal Talaiya, Itahari"
Taplejung,Kali Pokhari 'A'
Taplejung,Kali Pokhari 'B'
Taplejung,Suke Pokhari
Tehrathum,Chichiling Pokhari
Tehrathum,Panchakanya Chhather Pokhari
Tehrathum,Mudke Aahal
Tehrathum,Marga Pokhari
Udayapur,Belha Gavi
Udayapur,Dhar Pokhari
Udayapur,Rautamai Pokhari
Udayapur,Taple Pokhari
Kathmandu,Gahana Pokhari
Kathmandu,Ikha Pokhari
Kathmandu,Kamal Pokhari
Kathmandu,Naag Pokhari
Kathmandu,Rani Pokhari
Kathmandu,Taudaha
Lalitpur,Boje Pokhari
Lalitpur,Boke Daha
Lalitpur,Godavari Kunda
Lalitpur,Lagankhel Pokhari
Lalitpur,Naag Daha
Lalitpur,Pimbahal Pokhari
Lalitpur,Zoo Pokhari
Mahottari,Bramhasthan Pokhari
Mahottari,Dami Madai Pokhari
Mahottari,Gotman Sagar
Mahottari,Mahadev Pokhari
Mahottari,Naini Pokhari
Mahottari,Purni Pokhari
Mahottari,Rani Pokhari
Mahottari,Satuniya Pokhari
Mahottari,Sukhdev Pokhari
Mahottari,Telia Pokhari
Mahottari,Thari Pokhari
Mahottari,Tharuhai Pokhari
Mahottari,Sanshar pokhari
Makwanpur,Kulekhani Reservoir (Indra Sarobar)
Nuwakot,Sagar Kunda
Parsa,Gamharia Pokhari
Parsa,Nawagachhi Dam
Parsa,Rabidash Pokhari
Parsa,Ghadiarwa Pokhari
Parsa,Maidiya Pokhari
Parsa,nagawa pokhari
Parsa,chhapkaiya pokhari
Parsa,Kamini Daha
Parsa,Banjari Pokhari
Ramechaap,Pokhari Dada
Rasuwa,Gosai Kund (Ramsar Site)
Rasuwa,Bhairab Kund
Rasuwa,Surya kund
Rautahat,Bauddhi Pokhari
Rautahat,Chandi Pokhari
Rautahat,Dhamaura Pokhari
Rautahat,Gaur Pokhari
Rautahat,Mahadev Pokhari
Rautahat,Mahakar Pokhari
Rautahat,Mardhar Pokhari
Rautahat,Nagarpalika Pokhari
Rautahat,Nunthar Pokhari
Sarlahi,Betini Daha
Sarlahi,Chandragunj Pokhari
Sarlahi,Hatmare Pokhari
Sarlahi,Kerwa Pokhari
Sarlahi,Lekhandehi Taal
Sarlahi,Math Pokhari
Sarlahi,"Nadhi Taal. Nadhi Taal is about 12/13/21 km away from Malangwa, the headquarter of Sarlahi district to the East-North direction. It is the largest lake of Sarlahi District."
Sarlahi,Nagarpalika Pokhari
Sarlahi,Nassi Pokhari
Sarlahi,Panpiya Taal
Sarlahi,Purano Pokhari (Musailiko Pokhari)
Sarlahi,Laxmipur pokhari
Sindhuli,Kund
Sindhuli,Pancha Kanya
Sindhupalchowk,Raithaneshwori Pokhari
