,,,,,,
S.N.,Developers,Projects,Location,Installed Capacity (kW),PPA Date,Required Commercial Operation Date
56,Ichowk Hydropower Pvt. Ltd.,Gohare Khola,Sindhupalchowk,950,2076.07.29,2075.05.25
57,Pike Hydropower Pvt. Ltd.,Likhu Khola,Ramechhap and Okhaldhunga,30000,2082.02.17,2075.05.26
58,Sita Hydro Power Co. Pvt. Ltd.,Nyasim Khola,Sindhupalchowk,35000,2080.03.15,2075.05.26
59,Sushmit Energy Pvt. Ltd.,Kunaban Khola,Myagdi,20000,2080.11.03,2075.05.29
60,Masina Paryatan Sahakari Sanstha Ltd.,Masina,Kaski and Tanahu,891,2076.10.29,2075.06.02
61,Hydro Village Pvt. Ltd.,Myagdi Khola,Myagdi,57300,2080.05.29,2075.06.04
62,Shikhar Power Development Pvt. Ltd.,Bhim Khola,Baglung,4960,2078.06.05,2075.06.10
63,Dhading Ankhu Khola Hydro Pvt. Ltd.,Upper Ankhu,Dhading,38000,2079.09.15,2075.06.14
64,Phedi Khola Hydropower Company Pvt. Ltd.,Phedi Khola (Thumlung),Bhojpur,3520,2079.12.01,2075.06.21
65,Dolakha Nirman Company Pvt. Ltd.,Isuwa Khola,Sankhuwasabha,97200,2080.04.01,2075.06.26
66,Bikash Hydropower Company Pvt. Ltd.,Upper Machha Khola Small,Gorkha,4550,2080.03.30,2075.07.11
67,Sita Hydropower Co. Pvt. Ltd.,Dudh Khola,Manang,65000,2080.03.15,2075.07.11
68,Blue Energy Pvt. Ltd.,Super Trishuli,Gorkha and Chitwan,70000,2080.11.17,2075.07.11
69,Vision Lumbini Ltd.,Seti Nadi,Kaski,25000,2079.04.05,2075.08.06
70,Kalinchowk Hydropower Pvt. Ltd.,Sangu (Sorun),Dolakha,5000,2079.12.30,2075.08.09
71,Arun Valley Hydropower Development Company Ltd.,Kabeli B-1 Cascade,Panchthar,9940,2078.06.01,2075.08.09
72,Kasuwa Khola Hydropower Ltd.,Kasuwa Khola,Sankhuwasabha,45000,2082.04.06,2075.08.13
73,Ruru Hydroelectric Company Pvt. Ltd.,Rurubanchu Khola-2,Kalikot,12000,2079.05.25,2075.08.20
74,Gumu Khola Bhyakure Hydropower Pvt. Ltd.,Gumu Khola,Dolakha,950,2078.05.30,2075.08.21
75,Alliance Energy Solutions Pvt.Ltd.,Upper Sit Khola,Argakhanchi,905,2077.05.04,2075.08.23
76,Ekikrit Byapar Company Pvt. Ltd.,Brahamayani,Sindhupalchowk,35470,2080.04.13,2075.08.24
77,Integrated Hydro Fund Nepal Pvt. Ltd.,Upper Brahamayani,Sindhupalchowk,15150,2080.04.13,2075.08.24
