# Lakes of Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Source: https://en.wikipedia.org/wiki/List_of_lakes_of_Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achham,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tamorghaila,Taal,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tikauli,Taal,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dadeldhura,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ali,Taal(Dadeldhura),(Lake),,,,,,,,,,,,,,,,,,,,,,,,,
,Bodapathi,Tal,(Lake),,,,,,,,,,,,,,,,,,,,,,,,,
,Nayal,Tal,(Lake),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dailekh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,kunya,lake,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dang,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jyamire,Taal,,,,,,,,,,,,,,,,,,,,,,,,,,
,Barhakune,Daha,,,,,,,,,,,,,,,,,,,,,,,,,,
,Charinge,Daha,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gaurigaun,Taal,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jakhera,Picnic,Spot,,,,,,,,,,,,,,,,,,,,,,,,,
,Bhote,Daha,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kichkanni,Taal,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darchula,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brahama,Daha,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pasa,Daha,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dhading,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ganga,Jamuna,Tal,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dhankuta,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Marga,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rani,Taal,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dhanusha,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aagni,Kund,,,,,,,,,,,,,,,,,,,,,,,,,,
,Angraj,Sar,,,,,,,,,,,,,,,,,,,,,,,,,,
,Beeshahara,Sagar,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bihar,Kunda,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bindhichowk,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Biral,Sagar,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chapkai,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Devpura,Lake,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dhanu,Sagar,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ganga,Sagar,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gautam,Sarobar,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ithi,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kapalmochani,Sagar,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kuti,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Laski,Pokhari,(Shiva,Sagar),,,,,,,,,,,,,,,,,,,,,,,,
,Maharaj,Sagar,,,,,,,,,,,,,,,,,,,,,,,,,,
,Manipal,Taal,,,,,,,,,,,,,,,,,,,,,,,,,,
,Murali,Sagar,,,,,,,,,,,,,,,,,,,,,,,,,,
,Parseni,Sagar,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rukmini,Sagar,,,,,,,,,,,,,,,,,,,,,,,,,,
,Singrahi,Lake,,,,,,,,,,,,,,,,,,,,,,,,,,
,Subbaji,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tarahi,Pokhari,(Laksman,Sar),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolakha,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jata,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shiva,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Simpani,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thuli,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cho-Rolpa,Lake,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Khaptad,Lake,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ali,Taal(Dadeldhura),,,,,,,,,,,,,,,,,,,,,,,,,,
,Chatiwan,Lake,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aahal,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Antu,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bijay,pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dhap,Pokhari,(,The,largest,lake,in,Ilam),,,,,,,,,,,,,,,,,,,,
,Gore,Pokhari,(Seti,Devi),,,,,,,,,,,,,,,,,,,,,,,,
,Jor,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jhyau,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mai,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Suke,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Uttare,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jhapa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lajeko,Badh,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arna,Khadi,,,,,,,,,,,,,,,,,,,,,,,,,,
,Indreni,Tal,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mahadev,Than,Badh,,,,,,,,,,,,,,,,,,,,,,,,,
,Dadagaun,Badh,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dudamari,Badh,(I),,,,,,,,,,,,,,,,,,,,,,,,,
,Dudamari,Badh,(II),Kunwar,Tol,,,,,,,,,,,,,,,,,,,,,,,
,Lahure,Badh,,,,,,,,,,,,,,,,,,,,,,,,,,
,Katahare,Badh,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pagari,Badh,,,,,,,,,,,,,,,,,,,,,,,,,,
,Banyani,Badh,,,,,,,,,,,,,,,,,,,,,,,,,,
,Devi,Paini,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deunia,Khadi,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pathriya,Khadi,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kechana,Rani,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,
,Dhanusha,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arjundhara,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jamunkhadi,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dhamala,Badh,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khotang,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bane,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baraha,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chhitta,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Homma,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Indreni,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kaali,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Laamche,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morang,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,imja,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rani,Pokhari,Katahari,,,,,,,,,,,,,,,,,,,,,,,,,
,Raja,Rani,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,
,Sunbarsi,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okhaldhunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,None,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panchthar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hile,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Suke,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gunte,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Harkote,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lam,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dabala,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jor,Pokhari,A,,,,,,,,,,,,,,,,,,,,,,,,,
,Jor,Pokhari,B,,,,,,,,,,,,,,,,,,,,,,,,,
,Suke,Pokhari,B,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sankhuwasabha,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ghante,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lam,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gupha,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Panch,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lampokhari,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Khopi,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Savapokhari,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bhute,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jaljala,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baulaha,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,PachPokhari,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ratto,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dudhpokhari,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Siddhapokhari,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sano,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thulo,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tato,Chhanju,Pokhri,,,,,,,,,,,,,,,,,,,,,,,,,
,Banduke,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,KalPokhaari,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Akle,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tinpokhari,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nunriri,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Khuisi,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Metalung,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thampokhari,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sadhu,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thulo,Tatopni,Spring,(Nundhaki),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saptari,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kamal,Daha,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jhola,Daha,(Gopit,Ganga),,,,,,,,,,,,,,,,,,,,,,,,
,Lohajara,Thakur,Daha,,,,,,,,,,,,,,,,,,,,,,,,,
,Purni,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sakuwayi,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Singaya,Dhar,,,,,,,,,,,,,,,,,,,,,,,,,,
,Singrahi,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thani,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bagmohi,Nadi,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mutni,Nadi,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ghordha,Nadi,,,,,,,,,,,,,,,,,,,,,,,,,,
,Khadak,Nadi,,,,,,,,,,,,,,,,,,,,,,,,,,
,Khado,Nadi,,,,,,,,,,,,,,,,,,,,,,,,,,
,Balan,Nadi,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siraha,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aada,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baban,Tol,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,
,Beli,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bishnupur,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dewal,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kamal,Daha,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mahadev,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Manik,Daha,,,,,,,,,,,,,,,,,,,,,,,,,,
,Narahiya,Pokhari,,,,,,,,,,,,,,,,,,,,,,,,,,
,Naya,Bandh,,,,,,,,,,,,,,,,,,,,,,,,,,
